Nomestado,Valor,Volumen,Precio,Asacrificado,Anio,Cveestado,Nomespecie,Nomproducto,Cveespecie,Cveproducto
Tamaulipas,37265.45,1063.114,35.05,4755.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,35580.7,1963.3,18.12,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,14799.164,362.034,40.88,16044.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,16515.84,659.92,25.03,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,121.108,30.277,4.0,0.0,2006.0,28.0,Caprino,Leche,6.0,6.0
Tamaulipas,5215.95,127.402,40.94,6077.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,6064.79,241.61,25.1,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,901.505,35.268,25.56,553.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,797.87,55.3,14.43,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,18.903,2.076,9.11,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,30102.242,899.368,33.47,4033.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,28477.56,1738.79,16.38,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,1902.978,46.522,40.91,2106.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,2149.902,85.434,25.16,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,8.763,2.18,4.02,0.0,2006.0,28.0,Caprino,Leche,6.0,6.0
Tamaulipas,709.022,17.192,41.24,872.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,880.596,34.972,25.18,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,29521.682,1163.241,25.38,15404.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,21655.165,1539.962,14.06,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,49.159,0.93,52.86,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,58.968,6.272,9.4,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,54999.522,1470.461,37.4,6843.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,56371.11,2812.48,20.04,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,5276.717,129.789,40.66,5613.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,5691.747,226.603,25.12,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,54.524,13.631,4.0,0.0,2006.0,28.0,Caprino,Leche,6.0,6.0
Tamaulipas,5016.813,122.6,40.92,5951.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,5980.935,238.585,25.07,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,3274.225,104.522,31.33,1344.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,1961.519,135.939,14.43,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,29.576,0.56,52.81,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,61.09,4.31,14.17,2905.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,37.297,4.044,9.22,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,49.403,5.357,9.22,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,48293.899,1434.229,33.67,6246.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,43888.158,2684.26,16.35,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,4495.738,109.847,40.93,6320.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,6452.188,255.365,25.27,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,9046.192,218.817,41.34,10255.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,10389.08,414.441,25.07,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,466865.471,18249.406,25.58,207255.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,297518.629,20927.86,14.22,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,93.573,3.887,24.07,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,164.049,10.237,16.03,6102.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,76.729,8.353,9.19,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,168.414,13.15,12.81,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,25658.87,869.855,29.5,4131.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,25111.102,1592.53,15.77,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,723.375,172.82,4.19,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,433.868,11.428,37.97,648.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,353.365,22.441,15.75,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,1384.72,39.254,35.28,2248.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,1345.566,81.911,16.43,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,2809.671,125.782,22.34,1633.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,2313.831,151.952,15.23,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,41.814,1.744,23.98,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,222.421,13.862,16.05,8272.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,42.956,4.679,9.18,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,229.481,17.899,12.82,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,26475.872,893.18,29.64,4243.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,25933.766,1634.507,15.87,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,141.168,33.75,4.18,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,457.879,11.622,39.4,646.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,383.281,23.461,16.34,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,1623.644,45.33,35.82,2524.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,1568.192,93.987,16.69,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,2909.616,130.204,22.35,1726.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,2429.922,159.39,15.25,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,256.242,10.659,24.04,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,272.831,17.035,16.02,10152.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,73.344,7.956,9.22,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,280.285,21.901,12.8,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,262574.948,8918.027,29.44,41934.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,257880.5,16389.12,15.74,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,3455.212,826.232,4.18,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,824.995,20.769,39.72,1159.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,689.726,41.872,16.47,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,2032.97,56.584,35.93,3126.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,1959.682,116.917,16.76,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,3844.028,173.061,22.21,2244.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,3139.758,209.408,14.99,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,62.64,1.156,54.19,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,276.802,11.28,24.54,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,976.839,61.174,15.97,38283.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,173.702,17.749,9.79,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,1067.672,80.624,13.24,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,39284.96,1262.1,31.13,6371.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,52379.922,2518.259,20.8,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,3390.616,800.98,4.23,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,521.174,18.684,27.89,996.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,573.064,33.777,16.97,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,478.162,14.956,31.97,534.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,544.072,26.004,20.92,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,691.88,29.439,23.5,324.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,494.078,36.375,13.58,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,200.85,3.708,54.17,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,858.385,34.87,24.62,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,579.424,36.2,16.01,21484.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,179.291,18.004,9.96,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,632.453,47.566,13.3,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,17051.04,547.9,31.12,2762.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,22701.618,1091.57,20.8,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,1473.836,347.83,4.24,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,729.796,26.226,27.83,1409.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,808.233,47.704,16.94,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,2309.587,72.24,31.97,2468.0,2006.0,28.0,Ovino,Carne,12.0,1.0
